"DATE","RNX65Q4","RNX66Q1","RNX66Q2","RNX66Q3","RNX66Q4","RNX67Q1","RNX67Q2","RNX67Q3","RNX67Q4","RNX68Q1","RNX68Q2","RNX68Q3","RNX68Q4","RNX69Q1","RNX69Q2","RNX69Q3","RNX69Q4","RNX70Q1","RNX70Q2","RNX70Q3","RNX70Q4","RNX71Q1","RNX71Q2","RNX71Q3","RNX71Q4","RNX72Q1","RNX72Q2","RNX72Q3","RNX72Q4","RNX73Q1","RNX73Q2","RNX73Q3","RNX73Q4","RNX74Q1","RNX74Q2","RNX74Q3","RNX74Q4","RNX75Q1","RNX75Q2","RNX75Q3","RNX75Q4","RNX76Q1","RNX76Q2","RNX76Q3","RNX76Q4","RNX77Q1","RNX77Q2","RNX77Q3","RNX77Q4","RNX78Q1","RNX78Q2","RNX78Q3","RNX78Q4","RNX79Q1","RNX79Q2","RNX79Q3","RNX79Q4","RNX80Q1","RNX80Q2","RNX80Q3","RNX80Q4","RNX81Q1","RNX81Q2","RNX81Q3","RNX81Q4","RNX82Q1","RNX82Q2","RNX82Q3","RNX82Q4","RNX83Q1","RNX83Q2","RNX83Q3","RNX83Q4","RNX84Q1","RNX84Q2","RNX84Q3","RNX84Q4","RNX85Q1","RNX85Q2","RNX85Q3","RNX85Q4","RNX86Q1","RNX86Q2","RNX86Q3","RNX86Q4","RNX87Q1","RNX87Q2","RNX87Q3","RNX87Q4","RNX88Q1","RNX88Q2","RNX88Q3","RNX88Q4","RNX89Q1","RNX89Q2","RNX89Q3","RNX89Q4","RNX90Q1","RNX90Q2","RNX90Q3","RNX90Q4","RNX91Q1","RNX91Q2","RNX91Q3","RNX91Q4","RNX92Q1","RNX92Q2","RNX92Q3","RNX92Q4","RNX93Q1","RNX93Q2","RNX93Q3","RNX93Q4","RNX94Q1","RNX94Q2","RNX94Q3","RNX94Q4","RNX95Q1","RNX95Q2","RNX95Q3","RNX95Q4","RNX96Q1","RNX96Q2","RNX96Q3","RNX96Q4","RNX97Q1","RNX97Q2","RNX97Q3","RNX97Q4","RNX98Q1","RNX98Q2","RNX98Q3","RNX98Q4","RNX99Q1","RNX99Q2","RNX99Q3","RNX99Q4","RNX00Q1","RNX00Q2","RNX00Q3","RNX00Q4","RNX01Q1","RNX01Q2","RNX01Q3","RNX01Q4","RNX02Q1","RNX02Q2","RNX02Q3","RNX02Q4","RNX03Q1","RNX03Q2","RNX03Q3","RNX03Q4","RNX04Q1","RNX04Q2","RNX04Q3","RNX04Q4","RNX05Q1","RNX05Q2","RNX05Q3","RNX05Q4","RNX06Q1","RNX06Q2","RNX06Q3","RNX06Q4","RNX07Q1","RNX07Q2","RNX07Q3","RNX07Q4","RNX08Q1","RNX08Q2","RNX08Q3","RNX08Q4","RNX09Q1","RNX09Q2","RNX09Q3","RNX09Q4","RNX10Q1","RNX10Q2","RNX10Q3","RNX10Q4","RNX11Q1","RNX11Q2","RNX11Q3","RNX11Q4","RNX12Q1","RNX12Q2","RNX12Q3","RNX12Q4","RNX13Q1","RNX13Q2","RNX13Q3","RNX13Q4","RNX14Q1","RNX14Q2","RNX14Q3","RNX14Q4","RNX15Q1","RNX15Q2","RNX15Q3","RNX15Q4","RNX16Q1","RNX16Q2","RNX16Q3","RNX16Q4","RNX17Q1","RNX17Q2","RNX17Q3","RNX17Q4","RNX18Q1","RNX18Q2","RNX18Q3","RNX18Q4","RNX19Q1","RNX19Q2","RNX19Q3","RNX19Q4","RNX20Q1","RNX20Q2","RNX20Q3","RNX20Q4","RNX21Q1","RNX21Q2","RNX21Q3","RNX21Q4","RNX22Q1","RNX22Q2","RNX22Q3","RNX22Q4","RNX23Q1","RNX23Q2","RNX23Q3","RNX23Q4","RNX24Q1"
"1947:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947:Q2",0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.400000000000002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,0.899999999999999,NA,NA,NA,NA,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,0.799999999999997,NA,NA,NA,NA,NA,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,-0.600000000000001,NA,NA,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-2.09999999999999,-2.09999999999999,-2.09999999999999,-2.09999999999999,-2.09999999999999,-2.09999999999999,-2.09999999999999,-2.09999999999999,-2,-2,-2,-2,-2,-2,-2,-2,-2.3,-2.3,-2.3,-2.3,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.40000000000001,-2.40000000000001,-2.2,-2.2
"1947:Q3",-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0.0999999999999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,0.399999999999999,NA,NA,NA,NA,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,NA,NA,NA,NA,NA,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,NA,NA,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.59999999999999,1.59999999999999,1.59999999999999,1.59999999999999,1.59999999999999,1.59999999999999,1.59999999999999,1.59999999999999,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,1.5,1.5
"1947:Q4",-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,NA,NA,NA,NA,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,NA,NA,NA,NA,NA,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,NA,NA,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.9,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-12.6,-12.6
"1948:Q1",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,NA,NA,NA,NA,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,NA,NA,NA,NA,NA,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,NA,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11.1,-11.1,-10.1,-10.1
"1948:Q2",-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,-7.6,NA,NA,NA,NA,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,NA,NA,NA,NA,NA,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,NA,NA,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-7.8,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-9,-9,-9,-9,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.3,-9.3
"1948:Q3",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,NA,NA,NA,NA,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,NA,NA,NA,NA,NA,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,NA,NA,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.7,-1.7,-1.7,-1.7,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.5,-1.5
"1948:Q4",-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.200000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,-0.800000000000001,NA,NA,NA,NA,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,NA,NA,NA,NA,NA,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,NA,NA,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.3,-1.3,-1.4,-1.4
"1949:Q1",2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,NA,NA,NA,NA,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,NA,NA,NA,NA,NA,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,NA,NA,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,9.8,9.8
"1949:Q2",-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.300000000000001,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,-0.699999999999999,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,NA,NA,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.199999999999999,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.200000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.300000000000001,0.299999999999999,0.299999999999999,0.300000000000001,0.300000000000001
